Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,11776095.70,711364.59,1307728.80,5496,0,5575,0,12721,0,720,0,46,0.7733430861616369,7908
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,12966327.80,254724.67,83240.00,2981,0,1472,0,6895,0,930,0,46,0.9498937275751987,8400
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2355457.28,13713.32,4380.00,321,0,118,0,594,0,59,0,6,0.9457975437135094,444
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6921853.47,3922712.99,3573558.00,2845,0,1017,0,6865,0,1155,0,30,0.9602816207029433,10524
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,6594969.13,1758787.11,3175032.00,2234,0,1389,0,4217,0,464,0,44,0.46399654594823814,10656
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2215093.65,624211.03,1563827.00,881,0,408,0,1989,0,388,0,12,0.9530311841761614,3132
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,3410679.02,1999496.20,576606.87,1259,0,508,0,3407,0,380,0,36,0.9591058964599997,5532
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3545321.75,1815651.98,788763.61,1366,0,454,0,3686,0,461,0,40,0.967180154664745,5844
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,779319.99,388281.38,797289.00,495,0,237,0,1206,0,253,0,23,0.9251291308677053,2460
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,11014964.67,0.00,0,3387,0,2020,0,8034,0,1389,48,0.9871416958540599,14172
